date,synthetic_truflation_level
2010-01-31,100.0
2010-02-28,99.88614080324106
2010-03-31,99.91889990265456
2010-04-30,99.92670085828537
2010-05-31,99.85704309539787
2010-06-30,99.78798543065928
2010-07-31,99.99797382599846
2010-08-31,100.16376984047722
2010-09-30,100.34776600934575
2010-10-31,100.7509811325819
2010-11-30,101.02077008679389
2010-12-31,101.47958771560576
2011-01-31,101.83485041784633
2011-02-28,102.19160220544425
2011-03-31,102.78754679323792
2011-04-30,103.33481177388623
2011-05-31,103.68472967547903
2011-06-30,103.64719764907957
2011-07-31,103.91977821461776
2011-08-31,104.26089600944525
2011-09-30,104.50094446581538
2011-10-31,104.55583829208223
2011-11-30,104.74772765185467
2011-12-31,104.73592714770665
2012-01-31,105.06262572352551
2012-02-29,105.31734316541002
2012-03-31,105.53846816709782
2012-04-30,105.70146648116437
2012-05-31,105.39831988094598
2012-06-30,105.25680718017782
2012-07-31,105.28039085608994
2012-08-31,105.97946137435036
2012-09-30,106.53972978601419
2012-10-31,106.83204625279282
2012-11-30,106.57822354665878
2012-12-31,106.5251856617865
2013-01-31,106.72552091103887
2013-02-28,107.38220502592284
2013-03-31,106.98457879643564
2013-04-30,106.67518032956171
2013-05-31,106.67942633434501
2013-06-30,106.95476349363234
2013-07-31,107.16904655741986
2013-08-31,107.4326041536263
2013-09-30,107.43695313417228
2013-10-31,107.46750016312912
2013-11-30,107.63945922117493
2013-12-31,107.92977676095391
2014-01-31,108.20271131914795
2014-02-28,108.28728417741941
2014-03-31,108.48152744366888
2014-04-30,108.6819681200733
2014-05-31,108.86354974529219
2014-06-30,109.00276785811411
2014-07-31,109.0951580640604
2014-08-31,109.04141900340545
2014-09-30,108.99468634842754
2014-10-31,108.92724992829632
2014-11-30,108.6365678875493
2014-12-31,108.162082675926
2015-01-31,107.2352636058302
2015-02-28,107.53089253123518
2015-03-31,107.8384837409431
2015-04-30,107.9281050901533
2015-05-31,108.33559985883636
2015-06-30,108.6400249287369
2015-07-31,108.77931306431809
2015-08-31,108.72631811899035
2015-09-30,108.3443221285222
2015-10-31,108.42164358729931
2015-11-30,108.5301131184994
2015-12-31,108.34333897204124
2016-01-31,108.2169398242966
2016-02-29,107.99390470817592
2016-03-31,108.35063092341143
2016-04-30,108.79003216038552
2016-05-31,109.03516619254496
2016-06-30,109.33657405478995
2016-07-31,109.22673007071796
2016-08-31,109.40779627224812
2016-09-30,109.70126157088345
2016-10-31,109.95753413235512
2016-11-30,110.0525054480383
2016-12-31,110.33392302331191
2017-01-31,110.82014365840878
2017-02-28,110.97109087480345
2017-03-31,110.93442491560113
2017-04-30,111.06009760370742
2017-05-31,110.90793040695797
2017-06-30,110.94209857999377
2017-07-31,110.95026565620589
2017-08-31,111.39376234232404
2017-09-30,112.02310713645821
2017-10-31,112.05526694758923
2017-11-30,112.37521345100362
2017-12-31,112.5975806638425
2018-01-31,113.0779585461085
2018-02-28,113.41009450568681
2018-03-31,113.38940721843367
2018-04-30,113.69112793309237
2018-05-31,113.92100165470016
2018-06-30,114.00777648387259
2018-07-31,114.0647438669621
2018-08-31,114.2591833097308
2018-09-30,114.49543500686141
2018-10-31,114.77278980364287
2018-11-30,114.6606617084274
2018-12-31,114.72184414655807
2019-01-31,114.56996707300569
2019-02-28,114.92014314443239
2019-03-31,115.35829309777915
2019-04-30,115.78038255582922
2019-05-31,115.7867390292189
2019-06-30,115.71236464394501
2019-07-31,115.9759540910571
2019-08-31,116.06119552468935
2019-09-30,116.21645082310766
2019-10-31,116.55350191379029
2019-11-30,116.87119722839208
2019-12-31,117.22159885703985
2020-01-31,117.43424243105338
2020-02-29,117.45065150716346
2020-03-31,116.82286180753573
2020-04-30,115.7451140398613
2020-05-31,115.57486921036065
2020-06-30,116.21524835142482
2020-07-31,116.85569854407959
2020-08-31,117.32376842510142
2020-09-30,117.67760159688324
2020-10-31,117.82582974083687
2020-11-30,118.12010067257128
2020-12-31,118.70818162562317
2021-01-31,119.03592999084627
2021-02-28,119.46863818396321
2021-03-31,120.16683203162124
2021-04-30,120.96227140680979
2021-05-31,121.86261631334717
2021-06-30,122.97396000507074
2021-07-31,123.54534289063804
2021-08-31,123.92009401976749
2021-09-30,124.50616543621464
2021-10-31,125.81811393706965
2021-11-30,127.00414034876648
2021-12-31,127.95916531500606
2022-01-31,128.77966170652388
2022-02-28,129.70980733781505
