date,synthetic_truflation_yoy
2011-01-31,1.8348504178463232
2011-02-28,2.308089374225153
2011-03-31,2.8709752543093714
2011-04-30,3.410610864091468
2011-05-31,3.83316635605202
2011-06-30,3.867411694669376
2011-07-31,3.921883852810293
2011-08-31,4.090427282732256
2011-09-30,4.138785168453896
2011-10-31,3.7764963841824706
2011-11-30,3.689298311484568
2011-12-31,3.2088615113678776
2012-01-31,3.1696175645518743
2012-02-29,3.058706285553514
2012-03-31,2.6763177638566615
2012-04-30,2.2902782389121468
2012-05-31,1.6526929383239741
2012-06-30,1.5529696582322838
2012-07-31,1.3092913253357708
2012-08-31,1.6483316666964232
2012-09-30,1.9509731042342437
2012-10-31,2.177026168880092
2012-11-30,1.7475280236035617
2012-12-31,1.70835219853116
2013-01-31,1.5827656848109717
2013-02-28,1.9606095239886434
2013-03-31,1.3702213557318377
2013-04-30,0.9211923739684824
2013-05-31,1.2154903938185413
2013-06-30,1.6131558223573927
2013-07-31,1.7939292264896434
2013-08-31,1.3711550902707481
2013-09-30,0.8421490743032445
2013-10-31,0.5948158184976071
2013-11-30,0.9957340619883404
2013-12-31,1.318553063711092
2014-01-31,1.384102317327085
2014-02-28,0.8428576702052881
2014-03-31,1.3992190875299348
2014-04-30,1.8812134034475791
2014-05-31,2.0473707874111513
2014-06-30,1.9148323062803119
2014-07-31,1.7972647592871427
2014-08-31,1.4975107998672188
2014-09-30,1.4499044963699692
2014-10-31,1.358317410334653
2014-11-30,0.9263412075729116
2014-12-31,0.21523802044602913
2015-01-31,-0.8941067201765684
2015-02-28,-0.6985045861386152
2015-03-31,-0.5927679282167975
2015-04-30,-0.6936413123169838
2015-05-31,-0.4849647909617838
2015-06-30,-0.3327832278987475
2015-07-31,-0.28951330686632915
2015-08-31,-0.2889735728817566
2015-09-30,-0.5966935102013071
2015-10-31,-0.46416882949843474
2015-11-30,-0.09799165338147953
2015-12-31,0.1675784079142817
2016-01-31,0.9154416051745828
2016-02-29,0.4305852634918228
2016-03-31,0.4749206078403789
2016-04-30,0.7986122516579375
2016-05-31,0.6457400287810833
2016-06-30,0.6411533194234265
2016-07-31,0.411307070982625
2016-08-31,0.6267830687616494
2016-09-30,1.2524324447307889
2016-10-31,1.4165903543226888
2016-11-30,1.4027372549374029
2016-12-31,1.8372925093109282
2017-01-31,2.405541903456898
2017-02-28,2.7568094464891946
2017-03-31,2.384659849388493
2017-04-30,2.0866483796743607
2017-05-31,1.7175781720788041
2017-06-30,1.468424028357851
2017-07-31,1.5779430404737393
2017-08-31,1.8151961174083686
2017-09-30,2.1165167403972784
2017-10-31,1.907766331599503
2017-11-30,2.110545319717394
2017-12-31,2.051642485378058
2018-01-31,2.0373686706806726
2018-02-28,2.1978729880514747
2018-03-31,2.2130031364928415
2018-04-30,2.3690149623073253
2018-05-31,2.716732010674283
2018-06-30,2.7633134248567837
2018-07-31,2.8070939644316395
2018-08-31,2.572335207245313
2018-09-30,2.2069802682687545
2018-10-31,2.425162984373319
2018-11-30,2.0337654427862395
2018-12-31,1.8865978027161168
2019-01-31,1.3194512406136116
2019-02-28,1.3314940308685186
2019-03-31,1.7363931319903658
2019-04-30,1.8376584529677498
2019-05-31,1.6377466379499328
2019-06-30,1.4951507806255204
2019-07-31,1.6755486045049173
2019-08-31,1.577126811832441
2019-09-30,1.5031305100881243
2019-10-31,1.5515106962145975
2019-11-30,1.927893566135075
2019-12-31,2.178970124720392
2020-01-31,2.5000228517326306
2020-02-29,2.2019711196763048
2020-03-31,1.2695825071849853
2020-04-30,-0.03046156454951099
2020-05-31,-0.18298280151476387
2020-06-30,0.4345980734446364
2020-07-31,0.758557633707202
2020-08-31,1.0878510209241243
2020-09-30,1.2572667324005415
2020-10-31,1.0916255677908993
2020-11-30,1.068615256621852
2020-12-31,1.2681816176183691
2021-01-31,1.3639016411531424
2021-02-28,1.7181570735490315
2021-03-31,2.862427929213607
2021-04-30,4.507453649535265
2021-05-31,5.440410312333599
2021-06-30,5.8156840427756595
2021-07-31,5.724705281732612
2021-08-31,5.622326731583893
2021-09-30,5.802772784852772
2021-10-31,6.783134236196053
2021-11-30,7.5211920965270185
2021-12-31,7.79304641238483
2022-01-31,8.185538363439427
2022-02-28,8.572265750683483
2022-03-31,9.246939278863087
2022-04-30,8.866120037145286
2022-05-31,9.164633994675775
2022-06-30,9.623554000061452
2022-07-31,9.054944856052627
