snapshot_date,source,source_url,source_updated_at,provider,model_id,model_name,token_type,price_usd_per_1m,raw_price,raw_unit,pricing_plan,price_dimension,mode,context_length,tokenizer,notes,series_id,is_positive_price
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,j2-light,,input,3.0,3e-06,usd_per_token,standard,input_cost_per_token,completion,8192.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|j2-light|input_cost_per_token|input,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,j2-light,,output,3.0,3e-06,usd_per_token,standard,output_cost_per_token,completion,8192.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|j2-light|output_cost_per_token|output,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,j2-mid,,input,10.0,1e-05,usd_per_token,standard,input_cost_per_token,completion,8192.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|j2-mid|input_cost_per_token|input,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,j2-mid,,output,10.0,1e-05,usd_per_token,standard,output_cost_per_token,completion,8192.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|j2-mid|output_cost_per_token|output,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,j2-ultra,,input,15.0,1.5e-05,usd_per_token,standard,input_cost_per_token,completion,8192.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|j2-ultra|input_cost_per_token|input,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,j2-ultra,,output,15.0,1.5e-05,usd_per_token,standard,output_cost_per_token,completion,8192.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|j2-ultra|output_cost_per_token|output,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,jamba-1.5,,input,0.19999999999999998,2e-07,usd_per_token,standard,input_cost_per_token,chat,256000.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|jamba-1.5|input_cost_per_token|input,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,jamba-1.5,,output,0.39999999999999997,4e-07,usd_per_token,standard,output_cost_per_token,chat,256000.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|jamba-1.5|output_cost_per_token|output,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,jamba-1.5-large,,input,2.0,2e-06,usd_per_token,standard,input_cost_per_token,chat,256000.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|jamba-1.5-large|input_cost_per_token|input,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,jamba-1.5-large,,output,8.0,8e-06,usd_per_token,standard,output_cost_per_token,chat,256000.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|jamba-1.5-large|output_cost_per_token|output,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,jamba-1.5-large@001,,input,2.0,2e-06,usd_per_token,standard,input_cost_per_token,chat,256000.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|jamba-1.5-large@001|input_cost_per_token|input,True
2026-06-04,litellm,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,,ai21,jamba-1.5-large@001,,output,8.0,8e-06,usd_per_token,standard,output_cost_per_token,chat,256000.0,,LiteLLM chat/completion/responses modes only.,litellm|ai21|jamba-1.5-large@001|output_cost_per_token|output,True
