,log_fx_eurusd,log_diesel,log_freight,log_truf_vehicle,log_truf_transport
2010-01-31,0.355275544182848,1.045475190254981,4.707726774313183,4.605170185988092,4.609734020993271
2010-02-28,0.3133459718553153,1.0240683240475863,4.709530201312334,4.6059425776168625,4.622713670203877
2010-03-31,0.3052795848461895,1.0698012068139902,4.71760561531788,4.60413386919729,4.642884871109308
2010-04-30,0.29392391519342226,1.1180880651687664,4.720282993088596,4.601056837758736,4.650665448879561
2010-05-31,0.22818283278024667,1.1212866057069821,4.729156165769083,4.59797756096642,4.66421835735828
2010-06-30,0.2007640795314754,1.0810421674746458,4.7318028369214575,4.596182749703119,4.660935429539051
2010-07-31,0.24768562992682694,1.0685825422164137,4.730921391293652,4.5948778612616845,4.665862010404066
2010-08-31,0.25486770387300006,1.0847161834759982,4.73356340075649,4.5933867532297725,4.667700679887743
2010-09-30,0.2702452159403447,1.080533175268204,4.73444252169223,4.595182949153906,4.65971836189693
2010-10-31,0.32937209013090624,1.1156332730024126,4.739701078945697,4.598709098040567,4.662812983660122
2010-11-30,0.31146573548727213,1.144222799920162,4.751864565138895,4.601409252535707,4.668181812953331
2010-12-31,0.27924659363067933,1.176344637208462,4.754451888703846,4.60389140870083,4.675279963954329
2011-01-31,0.29047691324323266,1.2201807431701444,4.757891273005756,4.606482604390176,4.6451555979997945
2011-02-28,0.3115861842699457,1.276479495112684,4.765586907393996,4.6153127062924755,4.652433524608172
2011-03-31,0.3378873838961252,1.3621297341205927,4.78164132910387,4.620312638183001,4.6871611261373305
2011-04-30,0.36878465781690983,1.4022292241321963,4.795790545596741,4.624571821132958,4.738176312476174
2011-05-31,0.360085787060814,1.397926445349598,4.801558999993482,4.631846566195073,4.762015761550125
2011-06-30,0.36484195745352105,1.3694024934496725,4.799090878625398,4.635764141593864,4.751459039055567
2011-07-31,0.35592466254802824,1.362321801728981,4.798266815950004,4.633735475441734,4.728429723072294
2011-08-31,0.35999161162374943,1.3506153686628726,4.797442073635214,4.6306731433311805,4.724237286342786
2011-09-30,0.3182147415238353,1.3447559642113804,4.804021044733257,4.630724446765216,4.719538936489728
2011-10-31,0.31717655223633096,1.3343692882549711,4.804021044733257,4.632137078734354,4.714432586061836
