,log_fx_cnyusd,log_freight,log_diesel,log_truf_clothing,log_truf_transport
2010-01-31,1.9208730034360428,4.707726774313183,1.045475190254981,4.605170185988092,4.609734020993271
2010-02-28,1.921099634777969,4.709530201312334,1.0240683240475863,4.6221351733425005,4.622713670203877
2010-03-31,1.9207656020598343,4.71760561531788,1.0698012068139902,4.647342490828882,4.642884871109308
2010-04-30,1.9206729239047258,4.720282993088596,1.1180880651687664,4.648785212680033,4.650665448879561
2010-05-31,1.920951251014118,4.729156165769083,1.1212866057069821,4.640273134697263,4.66421835735828
2010-06-30,1.919630840015958,4.7318028369214575,1.0810421674746458,4.6190823218837105,4.660935429539051
2010-07-31,1.9134213920185814,4.730921391293652,1.0685825422164137,4.594225703029438,4.665862010404066
2010-08-31,1.9150512097940051,4.73356340075649,1.0847161834759982,4.607076188410888,4.667700679887743
2010-09-30,1.9080076415170495,4.73444252169223,1.080533175268204,4.6417460681187945,4.65971836189693
2010-10-31,1.8972884706913506,4.739701078945697,1.1156332730024126,4.652548344222368,4.662812983660122
2010-11-30,1.8951896229355236,4.751864565138895,1.144222799920162,4.645395990022112,4.668181812953331
2010-12-31,1.894569592541259,4.754451888703846,1.176344637208462,4.618487239105905,4.675279963954329
2011-01-31,1.8865263196375113,4.757891273005756,1.2201807431701444,4.60905129473256,4.6451555979997945
2011-02-28,1.883445866174851,4.765586907393996,1.276479495112684,4.62318063967264,4.652433524608172
2011-03-31,1.8816703824580026,4.78164132910387,1.3621297341205927,4.645715598263004,4.6871611261373305
2011-04-30,1.8758992668598806,4.795790545596741,1.4022292241321963,4.6543304054881265,4.738176312476174
2011-05-31,1.871137487179846,4.801558999993482,1.397926445349598,4.654698258788352,4.762015761550125
2011-06-30,1.8678791071010006,4.799090878625398,1.3694024934496725,4.641845113299809,4.751459039055567
2011-07-31,1.8652476660273707,4.798266815950004,1.362321801728981,4.628018806787214,4.728429723072294
2011-08-31,1.8568610111874797,4.797442073635214,1.3506153686628726,4.649831877826582,4.724237286342786
2011-09-30,1.8544927905438622,4.804021044733257,1.3447559642113804,4.67796059768297,4.719538936489728
2011-10-31,1.8517493798540303,4.804021044733257,1.3343692882549711,4.6958961470267315,4.714432586061836
2011-11-30,1.8494637525726512,4.81380905109942,1.3767489482763593,4.692385142254054,4.71958591596218
2011-12-31,1.8481728083906592,4.814620410170298,1.3509262172820993,4.663369704912239,4.715947135666284
2012-01-31,1.8432713230630826,4.820281565605037,1.343543424052258,4.651277134504325,4.719503586158104
2012-02-29,1.8405004258376085,4.825108606353353,1.37434829010149,4.656730861126223,4.735203331227547
2012-03-31,1.8425289143093013,4.837867950107113,1.417429590050602,4.685176936092085,4.7672980254394774
2012-04-30,1.8412364722995684,4.841822087327094,1.4146388341290332,4.692508071334732,4.791268610872384
2012-05-31,1.844384263140185,4.844187086458591,1.3809048638354524,4.686678751075192,4.781069268420503
2012-06-30,1.8505403756385896,4.8346933442663405,1.3240199416353866,4.670158730849795,4.762749032075674
2012-07-31,1.8518730361084113,4.833102254034098,1.3139924493644854,4.646795074103005,4.755982789850421
2012-08-31,1.849914889917224,4.842611042003125,1.3819097628020665,4.657544699647365,4.765753473451857
2012-09-30,1.843719208158766,4.847331743138063,1.415853163361435,4.694350050109088,4.770743507477789
2012-10-31,1.834616482601216,4.845760650906022,1.4094736340672958,4.714261172777944,4.765710219019249
2012-11-30,1.829978077878195,4.843399374720342,1.3862943611198906,4.700717419511145,4.751647312986375
2012-12-31,1.829828076654642,4.844187086458591,1.3764460250650763,4.674916634797649,4.746456276217502
2013-01-31,1.828014096808714,4.841822087327094,1.3631536686782482,4.668536805091635,4.747147244849227
2013-02-28,1.829740379054994,4.845760650906022,1.4135446756100511,4.680580089546915,4.764326619770959
2013-03-31,1.8270362124603667,4.852030263919617,1.4030900210372914,4.692885451856476,4.765141973012942
2013-04-30,1.8223063092365581,4.848116364598481,1.3686394258811698,4.694388603171764,4.754000758248921
2013-05-31,1.815090475282398,4.850466541943434,1.3533191044384378,4.686655569427399,4.751226477878399
2013-06-30,1.8138715192567794,4.848900370910689,1.347878324127891,4.675625192035149,4.751673475207075
2013-07-31,1.813887821301056,4.848900370910689,1.352220380786139,4.662823300776679,4.753041119370705
2013-08-31,1.8117685517408957,4.848900370910689,1.3621297341205927,4.672876151099466,4.750961962528759
2013-09-30,1.8115318673091667,4.844974178195408,1.3764460250650763,4.702016049662467,4.743903236336785
2013-10-31,1.8088154580887448,4.845760650906022,1.3570586316847064,4.711166204671088,4.732722594573525
2013-11-30,1.8071293417510448,4.848900370910689,1.345146792772895,4.70009439131385,4.7275876229389375
2013-12-31,1.803984438850624,4.847331743138063,1.3562989635844895,4.681152099787309,4.729753855007396
2014-01-31,1.800213317086794,4.851248708584797,1.359244284393311,4.667610814336637,4.7328439982916635
2014-02-28,1.8052678192528473,4.853591544486569,1.3821608298382837,4.6749341494405385,4.739003245294144
2014-03-31,1.8201648865892373,4.857484114602081,1.3864443498710155,4.6983218925095676,4.7534555168546575
2014-04-30,1.828511373976961,4.863680881139593,1.3773166820875398,4.701363103337689,4.762209868625063
2014-05-31,1.8306527478281125,4.8721392168423305,1.37187844938553,4.696603350782133,4.763250128308722
2014-06-30,1.829473400625008,4.873669439023098,1.3625650344206537,4.686036037862388,4.7602872712665665
2014-07-31,1.824297060829936,4.869839484130799,1.356736808877565,4.668966516145063,4.75448052573094
2014-08-31,1.8171231690164427,4.870606649492553,1.344951397585508,4.676877934193289,4.743816284722855
2014-09-30,1.8145361942511156,4.870606649492553,1.332999064061667,4.707379566028922,4.7349362629922425
2014-10-31,1.8123869196627778,4.865224091322398,1.3030486125166236,4.717479503702158,4.725181030707137
2014-11-30,1.8123615227222005,4.86599480426999,1.293973458969868,4.696836279622805,4.712676479018113
2014-12-31,1.8227135066451885,4.859036909945142,1.226888228896677,4.662929256619847,4.697467326746944
2015-01-31,1.8274700225620233,4.841822087327094,1.097695201605626,4.656222674884327,4.679702119432639
2015-02-28,1.8328769990208276,4.836281906951478,1.0500346019237508,4.666467296927137,4.6892110126096975
2015-03-31,1.830756526836169,4.836281906951478,1.0636757187872132,4.6910279136134525,4.705466762002906
2015-04-30,1.8247098363478713,4.837867950107113,1.0232599528713975,4.6939921811522165,4.708262963269838
2015-05-31,1.8251055889021592,4.838660029356445,1.060391075847912,4.682595915436177,4.720447443081566
2015-06-30,1.825387650208039,4.844974178195408,1.0553567799971526,4.669552135493964,4.723998248746727
2015-07-31,1.8259112673672557,4.843399374720342,1.0252348188633342,4.6552991678267714,4.723945476436968
2015-08-31,1.8466030807587217,4.837867950107113,0.9535865166178519,4.668809449789957,4.715210246766084
