id,Index,parent_id,child_id,name,Relative importance,Core v Non-core,Current Adj,1y ago Adj
229,Truflation US New,133,249,Major appliances CPI 31131,0.546,Core,52.29463002,58.07729387
230,Truflation US New,134,250,"Small appliances, miscellaneous housewares CPI 31132",0.208,Core,22.04814106,20.84034452
231,Truflation US New,135,251,Miscellaneous household equipment CPI 3115,1.137,Core,140.3989887,129.0216414
232,Truflation US New,135,252,Miscellaneous household equipment CPI 3114,0.679,Core,51.50889516,51.28281095
233,Truflation US New,136,219,Alcoholic beverages CPI,0.5725,Core,73.43746768,70.09309423
234,Truflation US New,136,220,Alcoholic beverages NielsenIQ,0.5725,Core,69.68602007,65.12956214
235,Truflation US New,137,221,Tobacco Products and Smoking Supplies CPI,0.3775,Core,68.27390301,64.21890255
236,Truflation US New,137,222,Tobacco Products and Smoking Supplies NielsenIQ,0.3775,Core,69.34368594,64.33994519
237,Truflation US New,143,223,"Men, 16 and over CPI",0.636,Core,72.62580101,69.75091214
238,Truflation US New,144,224,"Boys, 2 to 15 CPI",0.228,Core,28.24048341,27.78995909
239,Truflation US New,145,225,"Women, 16 and over CPI",1.208,Core,128.031809,122.8566896
240,Truflation US New,146,226,"Girls, 2 to 15 CPI",0.236,Core,26.17124272,24.51072045
241,Truflation US New,140,227,Children under 2 CPI,0.18,Core,20.22154917,19.53459664
242,Truflation US New,141,228,Footwear CPI,0.832,Core,94.72719469,94.57021972
243,Truflation US New,142,229,Other apparel products and services CPI,0.48,Core,64.4027631,60.29939049
244,Truflation US New,147,230,"Residential phone service, VOIP, and phone cards CPI",0.414,Core,61.38357819,58.00885439
245,Truflation US New,148,231,Cellular phone service CPI,2.762,Core,210.4474728,209.1214818
246,Truflation US New,149,232,Reading CPI,0.192,Core,27.15182589,27.50394985
247,Truflation US New,150,233,Education CPI 3271,1.638,Core,241.7241814,233.3534703
248,Truflation US New,150,234,Education CPI 3274,0.504,Core,55.23589157,53.70391824
249,Truflation US New,151,235,Fees and admissions CPI,0.818,Core,108.5103665,102.8975163
250,Truflation US New,152,236,Audio and visual equipment and services CPI 3162,0.407,Core,16.8755503,18.26183602
251,Truflation US New,152,237,Audio and visual equipment and services CPI 3151,0.284,Core,9.752877818,10.1590077
252,Truflation US New,152,238,Audio and visual equipment and services CPI 3261,1.328,Core,198.1714536,189.6341221
253,Truflation US New,155,239,Pets CPI 3152,0.699,Core,87.99052362,79.55654044
254,Truflation US New,155,240,Pets CPI 3262,0.629,Core,110.3320935,100.1075737
255,Truflation US New,156,241,"Toys, hobbies, and playground equipment CPI",0.327,Core,19.59942697,19.18852236
256,Truflation US New,154,179,"Other entertainment supplies, equipment, and services CPI 3153",0.853,Core,91.05527964,91.89073508
257,Truflation US New,154,180,"Other entertainment supplies, equipment, and services CPI 3154",0.038,Core,3.279496413,3.124222766
258,Truflation US New,154,181,"Other entertainment supplies, equipment, and services CPI 3155",0.163,Core,21.36715052,20.75964674
259,Truflation US New,154,182,"Other entertainment supplies, equipment, and services CPI 3263",0.06,Core,7.355828276,7.047223149
260,Truflation US New,157,242,Personal Care products and services CPI 3183,0.253,Core,25.31367614,24.37059247
261,Truflation US New,157,243,Personal Care products and services CPI 3182,0.849,Core,92.7041373,86.23789713
262,Truflation US New,157,244,Personal Care products and services CPI 328,2.142,Core,318.524414,298.5983355
263,Truflation US New,96,253,Beverages CPI,0.29917,Other,39.56302278,36.40214818
264,Truflation US New,96,254,Beverages NielsenIQ,0.59834,Other,80.15423904,74.16705112
490,Truflation US New,98,332,Redfin Rented Dwellings,2.0285,Core,385.2588683,386.6106538
491,Truflation US New,98,334,ApartmentList Rented Dwellings,2.0285,Core,368.6126085,365.3673031
492,Truflation US New,100,330,Redfin Mortgage Rates,1.8176,Core,561.0730633,494.4616494
493,Truflation US New,100,336,Owners equivalent rent of residences CPI,1.8177,Core,2703.370866,2501.980649
494,Truflation US New,101,336,Owners equivalent rent of residences CPI,2.1655,Core,2703.370866,2501.980649
495,Truflation US New,102,336,Owners equivalent rent of residences CPI,1.9865,Core,2703.370866,2501.980649
