t,log_commodity,log_retail,true_beta,beta_filtered,beta_smoothed
0,4.0,1.406797936121156,0.35,0.3860853610525286,0.3840996724322509
1,3.97930031787519,1.3699100169832221,0.3446729783110365,0.38138362257699465,0.3824120888712849
2,3.9944093417913193,1.4174931895410372,0.34814505689863734,0.3861291782898837,0.38374956805695365
3,4.013320636119144,1.4252445581981399,0.35015989222099736,0.3880660991343993,0.38038779602778955
4,3.9743999323460675,1.24539401728704,0.33892155984011474,0.3645205248377977,0.36932326036892654
5,3.9484563422088215,1.3920717327154633,0.34790298587662466,0.37788865957548917,0.37618781693251685
6,3.9511131502721675,1.3380827492714673,0.347149429273818,0.37529558646407885,0.3737787279167388
7,3.944888298425296,1.2863682203640237,0.3382619805120922,0.3668967732609516,0.3716318761487321
8,3.9446522752752107,1.3656114835892545,0.3477722534269232,0.375182745613278,0.3783203591264279
9,3.9276913967237395,1.3995737902963963,0.3527776579996924,0.3846099598275641,0.38275052192336206
10,3.9453793562209962,1.2957080537881311,0.3426613220641091,0.3721023187187466,0.38013845463036355
11,3.9610351949295755,1.4378767995170032,0.3568787847861709,0.38715203608136556,0.3914767867018202
12,3.9624558088808,1.461711618768804,0.36214916373310047,0.3968045611246464,0.39761168221125476
13,3.985100633020161,1.4445894626812563,0.3620675948081001,0.39692191538912264,0.39875816722295954
14,3.9945508198652018,1.4653891910343086,0.37478934525307434,0.3994888125093851,0.4013846443169963
15,3.9774649706075373,1.4601372899452254,0.3760637275237115,0.40077343790374714,0.40410712029126344
16,3.9849399862891874,1.5363962793377686,0.3758390629228792,0.41213283151311236,0.4088734803603427
17,3.965862334272608,1.4113044982472855,0.37055666199470333,0.39946513145334206,0.40420654730840355
18,3.9835313402987533,1.5352847699656051,0.37521146550915996,0.4115228147248146,0.4109590764839967
19,3.9826328220790286,1.5032248104704835,0.3790242892477518,0.4117874509289241,0.4101527545168931
20,3.9790355748081234,1.5049602690846509,0.3791417303668695,0.4123718460185113,0.40781354142431675
21,3.9655169839200446,1.41279232007209,0.3728218395359287,0.39980145387715843,0.40129713338284856
22,3.9900678106935255,1.4862949027154375,0.37386127836925725,0.40402662616172563,0.4034264209344582
23,3.9870772210521497,1.5102205060547838,0.37330288808316014,0.409470308369008,0.4025663327546838
24,3.9786106646088877,1.396350296598301,0.36263509353328655,0.395390811249505,0.3926707872736622
25,3.9716679935991235,1.410390328200585,0.35086059472269304,0.3920687552744912,0.3887817422529503
26,3.982414177310191,1.4182408643039544,0.3553818217531712,0.3912361652603337,0.3840936233702062
27,3.9898230585974725,1.3131095228866538,0.33456671523275766,0.374929920378842,0.3738783854016304
28,3.9981777108293923,1.3729526749124141,0.33620999944844776,0.37661701247646223,0.37237048209926354
29,4.00689413088955,1.2575308304664397,0.33238533498641715,0.35979571366483093,0.3662631644918773
30,4.049827082906959,1.399820028514632,0.34285130784145645,0.3716004085769309,0.3755931201300509
31,4.041798782579266,1.4220636395917823,0.3389035621682254,0.3800670903448858,0.38142932352684944
32,4.031653927997835,1.4347571195253168,0.3441794358822406,0.38594093014115644,0.3834201489448977
33,4.015478473432878,1.3822380441752569,0.34100412515233824,0.38152805322611427,0.37974725117900526
34,4.027898061884387,1.367367190833042,0.3419141103802274,0.3768357076940178,0.37716614387172015
35,4.050577507738804,1.3880455741397453,0.3478088026275878,0.3767112292449538,0.37764641417325573
36,4.048398558585706,1.3826355426547963,0.34410835689699115,0.3759871650424142,0.37901538112404237
37,4.031695429046455,1.4382129651729214,0.35208079597297837,0.3847808006899592,0.38345059684198646
38,4.01530580473263,1.3545016540860395,0.3441312129561265,0.3769822974972085,0.38151170420210206
39,4.028417660489124,1.421264580374919,0.3464879556965935,0.3828892464894375,0.3880767327352486
40,4.043382743913193,1.5026382849871815,0.35386907347889635,0.39641162778711586,0.3956176181475961
41,4.054345829279296,1.4540426545768512,0.359149373413219,0.39411572969114494,0.3944577363000253
42,4.041135635133522,1.4683725317093828,0.3744809324271023,0.3960547064031916,0.394959352390158
43,4.045878861594857,1.4470647951052231,0.368373417888617,0.3934384364188535,0.3933579706448585
44,4.048312577777671,1.4710360521392127,0.35734022387782827,0.39575585823846104,0.39324023003702996
45,4.052786349712251,1.4141146042886779,0.3493855430098673,0.388081316731611,0.38955611082258307
46,4.070314925271215,1.470941047852117,0.3546690835422548,0.3923092943698714,0.3917190796885359
47,4.0748868362467086,1.4450765704017332,0.35865246701640985,0.38996169398320907,0.39084878598118544
48,4.088565107508146,1.4951159013517414,0.35947052029358917,0.395556648121759,0.39215974107995616
49,4.090016688897924,1.4286501579373159,0.35048686390073214,0.3880024557705345,0.3871177913600999
50,4.095899076871723,1.437757245920579,0.3566218022473646,0.3859637532028286,0.3858032177297365
51,4.108624841388494,1.4124534686523342,0.3468241640261603,0.38073487279911383,0.38556421458807577
52,4.07958172499138,1.4149943001404486,0.3560957606851755,0.3806274865623349,0.3927830661234538
53,4.073288300664234,1.6054228656931897,0.37895526807029445,0.4087991393195413,0.41081132038936935
54,4.063980847578377,1.5489431560553686,0.38188687724286685,0.41247552802159,0.41378636588175144
55,4.05130329061351,1.5865353243894855,0.3865517423281288,0.4202441167066526,0.4157182084648624
56,4.045900445588976,1.5305591811723551,0.3826088641769643,0.415518651894188,0.40907642087382545
57,4.075899271813664,1.4656917045324702,0.3681271576082698,0.4022630936688664,0.39964397993428014
58,4.058682649499799,1.46670599311506,0.363305402704028,0.39809534346474806,0.39577673309428374
59,4.078148216591629,1.4827200905365159,0.354562240775238,0.39761750362734044,0.3923657332624186
60,4.0445908211593125,1.3697652639171927,0.3429862041639179,0.3828225453446015,0.38460010578591275
61,4.037993120559597,1.4106480638882557,0.3567650836998831,0.3831636832059766,0.38720497877218807
62,4.041348181861697,1.4558920021965531,0.35894798384408927,0.38976075126763804,0.3931069672806076
63,4.053172628488883,1.4837860323877947,0.36198548448900114,0.3958580847350317,0.3979959070376116
64,4.06749716008474,1.5171522316464643,0.35951330556743116,0.4023850632168107,0.4011304260811934
65,4.083464104788738,1.474330688446792,0.35813033690788365,0.397804567208924,0.39928202781986866
66,4.076589603343769,1.5126382765477637,0.36584674236579834,0.40196946548155693,0.4014706178612827
67,4.0674425674904775,1.510656506214273,0.36558804541623663,0.40389908325531376,0.40073249623258667
68,4.08470208511562,1.472872677630148,0.3698335969204345,0.39812843367109335,0.3960604305692777
69,4.080975998617988,1.4730373259165284,0.36826556253767434,0.39605034292121954,0.3929952142103866
